opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,sector,year_established,revenue,employees,office_location,subsidiary_of,series,sales_price,manager,regional_office,cycle_time,revenue_log,employees_log,Target,Score_Risco
IV5UVG0R,Kami Bicknell,GTX Plus Pro,Sunnamplex,Won,2017-09-01,2017-09-17,5431.0,marketing,2008.0,894.37,1593.0,Poland,,GTX,5482.0,Summer Sewald,West,16,6.797237040666615,7.374001859350161,1,43
79EABK3X,Hayden Neloms,MG Special,Zoomit,Won,2016-12-21,2017-03-23,53.0,entertainment,1992.0,324.19,978.0,United States,,MG,55.0,Celia Rouche,West,92,5.7844096268933525,6.88653164253051,1,39
S7T5AHQH,Moses Frase,GTX Plus Basic,Stanredtax,Won,2017-07-22,2017-07-23,1174.0,finance,1987.0,1698.2,3798.0,United States,,GTX,1096.0,Dustin Brinkmann,Central,1,7.43791283104762,8.242493153187626,1,55
DZR5L7XQ,Markita Hansen,GTXPro,Green-Plus,Lost,2017-06-27,2017-07-05,0.0,services,2003.0,692.19,1922.0,United States,,,,Celia Rouche,West,8,6.541304131886272,7.56164174558878,0,58
QXWLE549,Marty Freudenburg,GTX Basic,Gogozoom,Won,2017-09-19,2017-11-17,574.0,telecommunications,2007.0,86.68,187.0,United States,Sonron,GTX,550.0,Melvin Marxen,Central,59,4.473693823199706,5.236441962829949,1,42
6ER2KL7X,Vicki Laflamme,MG Advanced,Condax,Lost,2017-04-06,2017-04-14,0.0,medical,2017.0,4.54,9.0,United States,,MG,3393.0,Celia Rouche,West,8,1.7119945007591924,2.302585092994046,0,56
QWL218JV,Vicki Laflamme,MG Advanced,Singletechno,Won,2017-02-07,2017-06-13,2919.0,retail,1996.0,2214.94,5374.0,United States,,MG,3393.0,Celia Rouche,West,126,7.703431971688343,8.589513852995864,1,41
URN9V0FK,Lajuana Vencill,MG Special,Konmatfix,Lost,2017-11-08,2017-12-30,0.0,marketing,1985.0,375.43,1190.0,United States,,MG,55.0,Dustin Brinkmann,Central,52,5.930732106979362,7.0825485693553,0,47
3GRTE6VM,Elease Gluck,MG Advanced,Dalttechnology,Won,2017-10-22,2017-10-29,3082.0,software,2013.0,98.79,96.0,United States,Bubba Gump,MG,3393.0,Celia Rouche,West,7,4.603067977896221,4.574710978503383,1,57
KG9R5M1Y,Darcel Schlecht,GTXPro,Dontechi,Won,2017-10-14,2017-10-18,4810.0,software,1982.0,4618.0,10083.0,United States,,,,Melvin Marxen,Central,4,8.437933510430605,9.218705288307811,1,57
P5BRH80Z,Cecily Lampkin,MG Special,Rundofase,Won,2017-03-18,2017-03-27,53.0,technolgy,1983.0,1008.06,1238.0,United States,,MG,55.0,Dustin Brinkmann,Central,9,6.916774483402297,7.122059881629142,1,45
57FO8KSQ,Darcel Schlecht,GTX Plus Basic,Isdom,Lost,2017-03-30,2017-04-07,0.0,medical,2002.0,3178.24,4540.0,United States,,GTX,1096.0,Melvin Marxen,Central,8,8.064397453499982,8.420902531097951,0,54
6AA52750,Niesha Huffines,GTXPro,Funholding,Lost,2017-11-06,2017-11-13,0.0,finance,1991.0,2819.5,7227.0,United States,Golddex,,,Melvin Marxen,Central,7,7.944669453180031,8.885717651712119,0,60
DHJ8KOUV,Gladys Colclough,GTX Plus Pro,Condax,Won,2017-09-21,2017-12-05,5138.0,medical,2017.0,4.54,9.0,United States,,GTX,5482.0,Melvin Marxen,Central,75,1.7119945007591924,2.302585092994046,1,44
8GBXTWXE,Kary Hendrixson,MG Advanced,Blackzim,Lost,2017-04-09,2017-04-16,0.0,retail,2009.0,497.11,1588.0,United States,,MG,3393.0,Summer Sewald,West,7,6.210820936167614,7.370860166536716,0,58
6JEAYHOE,Cecily Lampkin,MG Advanced,Isdom,Lost,2017-06-02,2017-06-18,0.0,medical,2002.0,3178.24,4540.0,United States,,MG,3393.0,Dustin Brinkmann,Central,16,8.064397453499982,8.420902531097951,0,42
PVDGIYSB,Lajuana Vencill,GTX Plus Basic,Isdom,Lost,2017-06-16,2017-08-29,0.0,medical,2002.0,3178.24,4540.0,United States,,GTX,1096.0,Dustin Brinkmann,Central,74,8.064397453499982,8.420902531097951,0,48
UWVT8M2Y,Corliss Cosme,GTX Basic,Iselectrics,Lost,2017-06-12,2017-08-18,0.0,technolgy,2011.0,527.11,1428.0,United States,Acme Corporation,GTX,550.0,Cara Losch,East,67,6.26930459534122,7.264730177929867,0,42
NK1TQTYO,Darcel Schlecht,GTXPro,Streethex,Lost,2017-07-22,2017-07-24,0.0,retail,1988.0,1376.8,1165.0,Belgium,,,,Melvin Marxen,Central,2,7.228243303159095,7.061334366910438,0,58
ID3IJHUS,Markita Hansen,MG Advanced,Xx-holding,Won,2017-01-10,2017-03-11,3820.0,finance,1993.0,7537.24,20293.0,United States,,MG,3393.0,Celia Rouche,West,60,8.927744012004242,9.918080554839028,1,48
8EPT4HEV,Corliss Cosme,GTX Plus Pro,Konex,Lost,2017-10-01,2017-10-07,0.0,technolgy,1980.0,7708.38,13756.0,United States,,GTX,5482.0,Cara Losch,East,6,8.950193048278516,9.529303064460995,0,56
37FL55S0,Darcel Schlecht,GTXPro,Treequote,Won,2017-04-05,2017-04-06,5647.0,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,,,Melvin Marxen,Central,1,8.569233306863506,9.059052257762401,1,56
8O3IYWSM,Jonathan Berthelot,GTX Basic,Globex Corporation,Won,2017-01-12,2017-05-17,513.0,technolgy,2000.0,1223.72,2497.0,Norway,,GTX,550.0,Melvin Marxen,Central,125,7.110467525423826,7.823245690685523,1,37
UKECBJV5,Cecily Lampkin,GTX Plus Pro,Streethex,Won,2017-06-12,2017-08-29,4961.0,retail,1988.0,1376.8,1165.0,Belgium,,GTX,5482.0,Dustin Brinkmann,Central,78,7.228243303159095,7.061334366910438,1,42
ZLFKHXXI,Moses Frase,GTX Basic,Rundofase,Won,2017-09-18,2017-12-25,520.0,technolgy,1983.0,1008.06,1238.0,United States,,GTX,550.0,Dustin Brinkmann,Central,98,6.916774483402297,7.122059881629142,1,37
CUA83384,Kami Bicknell,GTX Basic,Scotfind,Won,2017-06-02,2017-09-05,558.0,software,1996.0,6354.87,16780.0,United States,Bubba Gump,GTX,550.0,Summer Sewald,West,95,8.757134074332273,9.728002573001161,1,42
Z0TSV030,Garret Kinder,GTX Basic,Opentech,Won,2017-01-19,2017-03-30,617.0,finance,1994.0,355.23,853.0,United States,,GTX,550.0,Cara Losch,East,70,5.875576589656054,6.74993119378857,1,47
EV0V1ZZA,Vicki Laflamme,MG Advanced,Hatfan,Lost,2017-11-28,2017-12-02,0.0,services,1982.0,792.46,1299.0,United States,,MG,3393.0,Celia Rouche,West,4,6.676403129118039,7.170119543449628,0,61
08KE6ZQN,Boris Faz,MG Advanced,Vehement Capital Partners,Won,2017-03-31,2017-04-01,2819.0,finance,1993.0,646.1,883.0,United States,Golddex,MG,3393.0,Rocco Neubert,East,1,6.47250084206322,6.784457062637643,1,58
7U28UXIL,Hayden Neloms,MG Advanced,Green-Plus,Lost,2017-10-18,2017-10-19,0.0,services,2003.0,692.19,1922.0,United States,,MG,3393.0,Celia Rouche,West,1,6.541304131886272,7.56164174558878,0,56
5DL7R4C3,Darcel Schlecht,GTXPro,Hottechi,Lost,2017-09-26,2017-10-03,0.0,technolgy,1997.0,8170.38,16499.0,Korea,,,,Melvin Marxen,Central,7,9.008393084238966,9.711115659888671,0,55
VDGA4KXA,Violet Mclelland,GTX Plus Basic,Bluth Company,Won,2017-12-24,2017-12-30,1093.0,technolgy,1993.0,1242.32,3027.0,United States,Acme Corporation,GTX,1096.0,Cara Losch,East,6,7.1255405000516605,8.01565761455734,1,57
ZKSJ1DOK,Elease Gluck,GTX Basic,Kan-code,Won,2017-01-22,2017-06-07,581.0,software,1982.0,11698.03,34288.0,United States,,GTX,550.0,Celia Rouche,West,136,9.367261211366051,10.442579882010428,1,36
PAQTBHVA,Cassey Cress,MG Special,Zathunicon,Won,2017-06-18,2017-09-23,59.0,retail,2010.0,71.12,144.0,United States,,MG,55.0,Rocco Neubert,East,97,4.2783313983351166,4.976733742420574,1,43
14V0RQBV,Darcel Schlecht,GTXPro,Toughzap,Lost,2017-05-19,2017-08-27,0.0,retail,1995.0,332.43,799.0,United States,,,,Melvin Marxen,Central,100,5.809432948272155,6.684611727667927,0,43
CMPFB2PS,Jonathan Berthelot,GTX Basic,Conecom,Lost,2017-03-26,2017-04-02,0.0,technolgy,2005.0,1520.66,1806.0,United States,,GTX,550.0,Melvin Marxen,Central,7,7.3275571231903545,7.499423290592229,0,55
